Year,Month,Category,Material Type,Weight (lbs)
2023,Nov,Compost,C-Yardwaste,"6,580"
2023,Nov,Compost,C-Yardwaste,"8,040"
2023,Nov,Compost,C-Yardwaste,"6,380"
2023,Nov,Landfill,L-Landfill,"16,140"
2023,Nov,Landfill,L-Landfill,"14,560"
2023,Nov,Landfill,L-Landfill,"16,460"
2023,Nov,Landfill,L-Landfill,"15,080"
2023,Nov,Landfill,L-Landfill,"16,360"
2023,Nov,Landfill,L-Landfill,"16,660"
2023,Nov,Landfill,L-Landfill,"12,000"
2023,Nov,Landfill,L-Landfill,"11,580"
2023,Nov,Recycle,R-Mixed recycling,"9,020"
2023,Nov,Recycle,R-Mixed recycling,"7,400"
2023,Nov,Recycle,R-Mixed recycling,"7,700"
2023,Nov,Recycle,R-Mixed recycling,"8,160"
2023,Nov,Recycle,R-Mixed recycling,"7,680"
2023,Nov,Recycle,R-Mixed recycling,"8,920"
2023,Nov,Recycle,R-Mixed recycling,"5,280"
2023,Nov,Recycle,R-Mixed recycling,"5,760"
2023,Dec,Compost,C-Foodscraps,"72,000"
2023,Dec,Compost,C-Organics,"48,600"
2023,Dec,Recycle,R-Mixed recycling,262
2023,Dec,Landfill,L-Landfill,"1,656"
2023,Dec,Compost,C-Yardwaste,"10,580"
2023,Dec,Compost,C-Yardwaste,"8,880"
2023,Dec,Compost,C-Yardwaste,"8,780"
2023,Dec,Compost,C-Yardwaste,"13,360"
2023,Dec,Compost,C-Yardwaste,"6,760"
2023,Dec,Landfill,L-Landfill,"13,640"
2023,Dec,Landfill,L-Landfill,"15,200"
2023,Dec,Landfill,L-Landfill,"14,880"
2023,Dec,Landfill,L-Landfill,"15,620"
2023,Dec,Landfill,L-Landfill,"11,180"
2023,Dec,Recycle,R-Mixed recycling,"8,100"
2023,Dec,Recycle,R-Mixed recycling,"8,080"
2023,Dec,Recycle,R-Mixed recycling,"9,220"
2023,Dec,Recycle,R-Mixed recycling,"6,120"
2023,Dec,Recycle,R-Mixed recycling,"5,840"
2023,Nov,Recycle,R-Cardboard,"18,526"
2024,Jan,Compost,C-Foodscraps,"72,000"
2024,Jan,Compost,C-Organics,"48,600"
2024,Jan,Recycle,R-Mixed recycling,262
2024,Jan,Landfill,L-Landfill,"1,656"
2024,Jan,Compost,C-Yardwaste,"13,500"
2024,Jan,Compost,C-Yardwaste,"11,080"
2024,Jan,Compost,C-Yardwaste,"11,960"
2024,Jan,Compost,C-Yardwaste,"10,240"
2024,Jan,Compost,C-Yardwaste,"8,860"
2024,Jan,Compost,C-Yardwaste,"9,280"
2024,Jan,Landfill,L-Landfill,"12,480"
2024,Jan,Landfill,L-Landfill,"14,060"
2024,Jan,Landfill,L-Landfill,"14,840"
2024,Jan,Landfill,L-Landfill,"14,480"
2024,Jan,Landfill,L-Landfill,"14,140"
2024,Jan,Landfill,L-Landfill,"17,620"
